"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R2E6W2GQ","conferencePaper","2016","Birjali, M.; Beni-Hssane, A.; Erritali, M.; Madani, Y.","Information content measures of semantic similarity between documents based on Hadoop system","2016 International Conference on Wireless Networks and Mobile Communications (WINCOM)","","","10.1109/WINCOM.2016.7777212","","Retrieving documents in response to the user's query is the most commonly text retrieval task. For our work, we have mainly focused on detecting the semantic similarity between documents in large documents collection and queries. In this paper, we investigated MapReduce as a specific framework for managing distributed processing in dataset pattern and semantic similarity measures of documents. Then we study the state of the art of different approaches for computing the semantic similarity of documents. We propose an approach based on parallel algorithm of semantic similarity measures using MapReduce and WordNet to detect the relevant documents in the face of the query. Finally, we are leading basic experiments to assess the performance of the proposed approach and noted the leverage of Hadoop and MapReduce to the semantic similarity measures between documents.","2016-10","2019-06-15 15:03:11","2019-06-15 16:18:58","","187-192","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; Semantics; query processing; Wordnet; Servers; Semantic similarity; text analysis; Indexing; WordNet; information content; document retrieval; text retrieval; Big Data; Hadoop; Big data; data handling; distributed processing; document semantic similarity measures; Frequency measurement; Hadoop system; MapReduce; Mapreduce programming; parallel algorithm; parallel algorithms; Programming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCZZBMSR","conferencePaper","2017","Hairong, W.; Ying, G.","The research and application of domain-ontology-oriented flexible query method","2017 3rd IEEE International Conference on Computer and Communications (ICCC)","","","10.1109/CompComm.2017.8323006","","To solve the problem of empty or incongruent results in semantic queries, the paper proposes a flexible query method of domain ontology. Starting with the synonym analysis of semantic dictionary, the method makes a synonym expansion combining the synonymy and hyponymy in ontology, calls word similarity formula to calculate the similarity between the query keyword and its synonyms, and then, on the basis, defines flexible query inference rules, and makes the flexible expansion of query keyword by calling the inference mechanism and then uses the standard SPARQL query engine to complete the flexible query processing. The experimental system and corresponding experiment results prove the effectiveness of the method proposed.","2017-12","2019-06-15 15:03:11","2019-06-15 17:18:40","","2603-2606","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); Semantics; Resource description framework; query processing; domain ontology; Tools; inference mechanisms; query languages; Dictionaries; Domain ontology; domain-ontology; domain-ontology-oriented flexible query method; flexible expansion; flexible query; flexible query inference rules; flexible query method; flexible query processing; inference mechanism; query keyword; Query processing; semantic dictionary; semantic inference; semantic queries; SPARQL; standard SPARQL query engine; Standards; synonym analysis; synonym expansion; word similarity formula","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7E6PX5QP","conferencePaper","2018","Li, R.; Tian, B.; Yan, L.; Qu, Y.","Semantic Mapping of Energy Simulation Data Using Bag of Words and Graph Matching","2018 26th International Conference on Geoinformatics","","","10.1109/GEOINFORMATICS.2018.8557096","","Energy simulation is essential to urban planning and environment protection. It can be used to compare the effectiveness of different investment or construction strategies for decision makers. However, in the city level, the energy consumption simulation is difficult to implement because of the lack of datasets. In this paper, we propose an algorithm of automatic semantic mapping of energy simulation data from CityGML to data format of existing energy simulation software such as EnergyPlus. The proposed method makes use of bag of words algorithm to detect the semantic similarity between two objects in different data format and then the graph matching method is employed for overall mapping and information transformation. The experimental results indicate that the proposed method can effectively extract semantic information from CityGML for energy simulation.","2018-06","2019-06-15 15:03:11","2019-06-15 16:43:35","","1-5","","","","","","","","","","","","","","","","","","","","","","","","semantic matching; semantic similarity; information retrieval; semantic information; data mining; graph theory; automatic semantic mapping; bag of words; bag of words algorithm; building management systems; data format; decision making; energy conservation; energy consumption; energy consumption simulation; energy simulation; energy simulation data; energy simulation software; environment protection; feature extraction; graph matching; graph matching method; information transformation; town and country planning; urban planning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G672HVTB","conferencePaper","2014","Nejma, G. B.; Roose, P.; Marc, D.; Gensel, J.; Amine, G. M.","Design and Development of Semantic Application for Communities","2014 9th International Workshop on Semantic and Social Media Adaptation and Personalization","","","10.1109/SMAP.2014.34","","In the recent years, social applications have competed to incorporate emerging technologies and innovative aspects like semantics technologies, location based services, data ephemerality to ensure user privacy, etc. Although few applications combine these aspects, our challenge is to gather them in applications for communities. Likewise due to the limited resources of mobile devices and the growing number of services, context awareness becomes a major requirement in social computing. Applications must be adapted to context constraints (such as the host's resources, the services properties and the surrounding environments) and must provide appropriate or personalized services. This paper presents features and architectural principles upon which is based the design and the development of our application for fostering spontaneous communities. This kind of communities answers the needs that cannot be solved in perennial communities or may be more effective in circumstantial situations (e.g. Accidents, natural disaster, crisis, fire, etc.). The application provides multiple services in order to satisfy the needs of users sharing a common interest or a common purpose. As a solution for resource constrained device in pervasive environment, we consider a deployment strategy of services based on a semantic web services matching algorithm. The proposed approach has been validated through a prototype called Taldea used by the visitors of a botanical garden.","2014-11","2019-06-15 15:03:12","2019-06-15 16:18:02","","54-59","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; semantic Web; Semantics; Web services; Social network services; social networking (online); Context; mobile computing; botanical garden; circumstantial situations; Communities; Communities applications; Computer architecture; context awareness; data ephemerality; Dynamic deployment of services; location based services; Location based services; Mobile communication; mobile devices; mobile handsets; personalized services; pervasive environment; resource-constrained device; semantic application; Semantic technologies; semantic Web service matching algorithm; semantics technologies; social computing; Taldea; Temporary Social network; user need satisfaction; User Policies rules; user privacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86LG4TFC","conferencePaper","2017","Aroua, E.; Mourad, A.","An ontology-based framework for enhancing personalized content and retrieval information","2017 11th International Conference on Research Challenges in Information Science (RCIS)","","","10.1109/RCIS.2017.7956547","","Providing the user with tailored and personalized services has a paramount importance when developing an interactive system. However, anticipating his interest remains another challenge to be overcame. This is related on one hand, to the lack of specific computational modeling for knowledge discovery, and on other hand, to fitting correctly with what the user requires. In this paper, a new method based on user profile ontology built through ontology modularization is proposed. This latter, is composed of explicit and implicit user's preferences. The discovering of such preferences is achieved by a new method of content based ontology that aims to take into consideration both the hierarchical and the non-hierarchical (semantic) relations jointly with related properties. However, the extraction phase is gained by ontological rules SWRL which are extended through the Spreading activation technique in order to infer as much as possible new knowledge. The proposal is applied in the public transport system to retrieve the most suitable path. The assessment phase shows that this method can provide meaningful personalized results.","2017-05","2019-06-15 15:03:12","2019-06-15 16:17:26","","276-285","","","","","","","","","","","","","","","","","","","","","","","","ontologies (artificial intelligence); semantic similarity; information retrieval; Taxonomy; Cognition; personalized services; content based approach; content based ontology; explicit user preferences; implicit user preferences; interactive system; interactive systems; nonhierarchical semantic relations; ontological rules; ontology modular; ontology modularization; personalized content; public transport system; retrieval information; spreading activation; spreading activation technique; SWRL; SWRL rule; user profile ontology; user's preferences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFSH9M8L","conferencePaper","2017","Wan, J.; Li, L.; Wang, S.; Wang, X.","An approach of entity alignment based on semantic features","2017 4th International Conference on Information, Cybernetics and Computational Social Systems (ICCSS)","","","10.1109/ICCSS.2017.8091406","","Entity alignment is to link “equivalent” entities that denote the same object in the real world, which can be used to help promoting information integration and retrieval. Driven by the knowledge graph initiative, large amount of owl:sameAs links need to be established. Most of the existing entity alignment methods are based on the matching progress of schema pattern, and there are limitations in dealing with the alignment process in Linked Open Data datasets, lots of missing entity links is still to be found. In this paper a schema-independent entity alignment method based on attributes semantic features is proposed. In the feature modeling approach presented here, attributes of entity in the Linked Open Data datasets is modeled according to the semantic features similarity integrated with label statistical characteristics. Finally, we use a supervised variable sets classification algorithm to realize classifier optimization. The experiments show that the method is more efficient and has better effect in accuracy, recall and F measurement.","2017-07","2019-06-15 15:03:12","2019-06-15 16:15:40","","170-174","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); semantic web; semantic Web; Semantics; information retrieval; Resource description framework; knowledge representation languages; graph theory; learning (artificial intelligence); pattern classification; Feature extraction; pattern matching; Classification algorithms; Indexes; data handling; attribute semantic features; Cybernetics; entity alignment methods; equivalent entities; information integration; knowledge graph initiative; label statistical characteristics; Linked Open data; Linked Open Data datasets; Mapreduce; nformation retrieval; schema-independent entity alignment method; semantic feature similarity; VS-Adaboost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUS3DWBQ","journalArticle","2018","Shen, Y.; Li, Y.; Deng, Y.; Zhang, J.; Yang, M.; Chen, J.; Si, S.; Lei, K.","Gastroenterology Ontology Construction Using Synonym Identification and Relation Extraction","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2862885","","Ontology plays an increasingly important role in knowledge management and the semantic Web. However, ontology cannot perform well in realistic diagnosis reasoning unless it contains timely and accurate medical information and its individual items display all attributes of the categories they belong to. In this paper, we present a method that extracts synonyms along with concepts and their relationships for gastroenterology ontology construction. Specifically, we reuse the existing ontology as the basis for ontology completion. In addition, we conduct synonym identification through a combined application of global context features, local context features, and medical-specific features, and incorporate dependency information into deep neural networks for relation extraction. The extracted information is merged for ontology completion. Experimental results demonstrate that the proposed synonym identification and relation extraction method achieves the best performance compared with state-of-the-art methods and also builds a more complete ontology compared with existing gastroenterology disease ontologies. Our results are reproducible, and we will release the source code and ontology of this work after publication: https://github.com/shenyingpku/gastrointestinal_owl.","2018","2019-06-15 15:03:13","2019-06-15 16:18:37","","52095-52104","","","6","","","","","","","","","","","","","","","","","","","","","knowledge management; Ontologies; ontologies (artificial intelligence); semantic Web; Semantics; information retrieval; text analysis; text mining; Neural networks; word processing; Feature extraction; information extraction; machine learning; Data mining; feature extraction; Artificial neural networks; data acquisition; deep neural networks; diseases; Gastroenterology; gastroenterology disease ontologies; gastroenterology ontology construction; global context features; knowledge representation; local context features; medical diagnostic computing; Medical diagnostic imaging; medical information; medical information systems; medical-specific features; neural nets; realistic diagnosis reasoning; relation extraction; synonym identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEXDZ2DD","conferencePaper","2016","Jadhav, P. A.; Chatur, P. N.; Wagh, K. P.","Integrating performance of web search engine with Machine Learning approach","2016 2nd International Conference on Advances in Electrical, Electronics, Information, Communication and Bio-Informatics (AEEICB)","","","10.1109/AEEICB.2016.7538344","","Todays diversified user query over web search engine for information retrieval; semantic information for relevant web document on web has been plethora of web search research. A lot many web search engine developed based on semantic meaning like ontolook, swoogle etc., for finding relevant information, which helps to find user based semantic meaning related documents. The concept of semantic similarity or semantic information widely focused in many important fields such as Machine Learning, Artificial Intelligence, Cognitive Science, Natural Language Processing and Web Information Retrieval etc., Traditional web search engines and semantic web search engines relates user keyword with terms, entities, texts, documents which have semantic correlation with user query. Both search engines does not use images within web pages to find more relevant information. Now in this paper we have formulated a web document integrated ranking method based on text semantic information and image based object matching information. This integrated approach presented in this paper does not depend upon semantic information of user query but also consider image appearing within web pages to find more relevant information. Approach proposed in this paper includes finding semantic information using ontology based meaning of user query and feature based object matching over image to find image matching score. In proposed approach combined use of ontology based semantic information and image based object matching score will improve web document ranking.","2016-02","2019-06-15 15:03:13","2019-06-15 16:19:02","","519-524","","","","","","","","","","","","","","","","","","","","","","","","artificial intelligence; Ontologies; ontologies (artificial intelligence); Semantics; document handling; information retrieval; search engines; Search engines; Web search; query processing; Web pages; Semantic Similarity; Semantic Web; learning (artificial intelligence); natural language processing; Feature extraction; cognitive science; diversified user query; feature based object matching; image matching score; Machine Learning; machine learning approach; Object Matching; ontolook; Ranking; swoogle; user based semantic meaning related documents; Web Document; Web document integrated ranking method; Web document ranking; Web information retrieval; Web search engine; Web search research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YXLZD7G","journalArticle","2016","Hou, J.; Li, D.; Qiu, C.; Han, H.","A Semantic Retrieval Model Based on Domain Ontology of Orchard Disease and Pests","Chinese Journal of Electronics","","1022-4653","10.1049/cje.2016.05.011","","Ontology-based semantic retrieval can improve the efficiency of information retrieval. This paper proposes a semantic retrieval model based on domain ontology of orchard disease and pests. According to Forestry Thesaurus, we semi-automatically construct a domain ontology and repair ontology inconsistency to ensure the accuracy and uniqueness of the domain knowledge. A concept similarity algorithm is proposed and applied to calculate sentence similarity. We present a synthetic sentence similarity algorithm, which is a combination of the traditional sentence similarity algorithm and the weighted sentence similarity algorithm. Compared with other related methods through experiments, our retrieval model has higher accuracy in semantic retrieval.","2016","2019-06-15 15:03:13","2019-06-15 16:13:51","","460-466","","3","25","","","","","","","","","","","","","","","","","","","","","ontologies (artificial intelligence); information retrieval; domain ontology; botany; concept similarity algorithm; domain knowledge; Forestry Thesaurus; ontology inconsistency; orchard disease; orchard pests; plant diseases; semantic retrieval model; synthetic sentence similarity algorithm; weighted sentence similarity algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG9MB67J","conferencePaper","2015","Jay, P.; Shah, P.; Makvana, K.; Shah, P.","Review on web search personalization through semantic data","2015 IEEE International Conference on Electrical, Computer and Communication Technologies (ICECCT)","","","10.1109/ICECCT.2015.7226083","","Information generated within the World Wide Web is increasing at huge rate and user's access for their own interested work. Ambiguous queries and lower ability of user to precisely express what they need have been one of the challenging obstacles in improving search results. It is obvious that the current search engines retrieve results are sometimes not of user relevance due to keyword based search, so to fill the gap between the user interest and retrieved search results, personalized web search needs to be evolved. For example, a biologist and a programmer may use the same query “mouse” with different search context, but the search systems would return same results. Again still there is need to customize the search results by re-ranking the retrieved results incorporating the user interests. In this paper we have presents various approaches to personalize web search through user modelling by analyzing semantic data.","2015-03","2019-06-15 15:03:14","2019-06-15 16:43:30","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; semantic web; semantic Web; Google; information retrieval; Resource description framework; search engines; user query; query processing; search engine; World Wide Web; Vocabulary; Standards; Filtering algorithms; HTML; ODP; personalized web search; result reranking; RIB; semantic data; UIS; Web search personalization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D927W8WE","conferencePaper","2015","Araújo, J. C. d; Oliveira, J. M. P. d; Marques, L. G.","Recovery Medical Articles Using Semantic Enrichment Method","2015 11th International Conference on Signal-Image Technology Internet-Based Systems (SITIS)","","","10.1109/SITIS.2015.131","","The low success rate when retrieving information through web searches could be verified virtually in all areas of knowledge, due to the large amount of information available which raises the selection complexity for relevant articles. A query consists in chosen terms to drive the search for related documents. However, if new terms could be added in order to expand the relevance of the search, then there is what is called query semantic enrichment. This paper presents a semantic enrichment model to improve the quality of results for medical articles queries. This model knows the search context by using a repository of articles which is previously subjected to Latent Semantic Analysis and is supported by the National Cancer Institute ontology and the WordNet lexical database. In this way, new terms which are semantically related to the conducted search context, could be proposed to help raising precision when retrieving relevant articles.","2015-11","2019-06-15 15:03:14","2019-06-15 16:43:10","","705-711","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; Semantics; Ontology; Databases; query processing; Information Retrieval; Search problems; Context; medical information systems; article retrieval; Biomedical imaging; latent semantic analysis; Latent Semantic Analysis; medical article recovery; Medical Articles; medical articles queries; National Cancer Institute ontology; query semantic enrichment; Semantic Enrichment; semantic enrichment model; WordNet lexical database","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272L3EZR","conferencePaper","2014","Batet, M.; Sánchez, D.","A Semantic Approach for Ontology Evaluation","2014 IEEE 26th International Conference on Tools with Artificial Intelligence","","","10.1109/ICTAI.2014.30","","In recent years, ontologies have experienced an enormous development due to their importance in knowledge-based systems. Because of the discrepancies that may appear during the modeling of ontologies, and due to the availability of ontologies covering overlapping domains, ontology evaluation is crucial in order to select the most appropriate ontology for a specific application. Many ontology evaluation mechanisms available in the literature assess the quality of ontologies according to their structural features. Even though, most of them propose ad-hoc scores aggregating different features, which lacks semantic and mathematical coherence. In this paper, we present an intuitive measure for ontology evaluation that quantifies the semantic dispersion of the ontology, which is both mathematically and semantically coherent. Our proposal is inspired in the standard notion of numerical dispersion of a sample and on a recent empirical study showing which ontological features can better predict the accuracy of ontologies. Our experiments, performed over a set of widely used ontologies, suggest that our measure positively correlates with such features, while offering a more coherent ontology evaluation score.","2014-11","2019-06-15 15:03:14","2019-06-15 16:13:44","","138-145","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); Semantics; Taxonomy; knowledge based systems; knowledge-based systems; Standards; Accuracy; dispersion; Dispersion; Knowledge representation; Numerical models; ontological features; ontologies modelling; ontology evaluation; ontology semantic dispersion; semantic approach; semantics; structural features","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QF92IKGG","book","2014","Chen, B.; Wang, H.; Ding, Y.; Wild, D.","Semantic Breakthrough in Drug Discovery","","978-1-62705-451-5","","","https://ieeexplore.ieee.org/document/6949409","The current drug development paradigm—sometimes expressed as, “One disease, one target, one drug”—is under question, as relatively few drugs have reached the market in the last two decades. Meanwhile, the research focus of drug discovery is being placed on the study of drug action on biological systems as a whole, rather than on individual components of such systems. The vast amount of biological information about genes and proteins and their modulation by small molecules is pushing drug discovery to its next critical steps, involving the integration of chemical knowledge with these biological databases. Systematic integration of these heterogeneous datasets and the provision of algorithms to mine the integrated datasets would enable investigation of the complex mechanisms of drug action; however, traditional approaches face challenges in the representation and integration of multi-scale datasets, and in the discovery of underlying knowledge in the integrated datasets. The Semantic Web, envisioned to enable machines to understand and respond to complex human requests and to retrieve relevant, yet distributed, data, has the potential to trigger system-level chemical-biological innovations. Chem2Bio2RDF is presented as an example of utilizing Semantic Web technologies to enable intelligent analyses for drug discovery. Table of Contents: Introduction / Data Representation and Integration Using RDF / Data Representation and Integration Using OWL / Finding Complex Biological Relationships in PubMed Articles using Bio-LDA / Integrated Semantic Approach for Systems Chemical Biology Knowledge Discovery / Semantic Link Association Prediction / Conclusions / References / Authors' Biographies","2014","2019-06-15 15:03:14","2019-06-15 16:43:32","","","","","","","","","","","","","Morgan & Claypool","","","","","","","","","","","","","drug discovery; semantic analytics; semantic data integration; semantic graph mining; semantic prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X54SPRR4","conferencePaper","2015","Murali, D.; Damodaram, A.","Semantic document retrieval system using fuzzy clustering and reformulated query","2015 International Conference on Advances in Computer Engineering and Applications","","","10.1109/ICACEA.2015.7164788","","In this paper, we develop an algorithm for document retrieval system through clustering process and query basis. Initially, the pre-processing is applied on whole documents to remove the unnecessary words and phrases of every document. Then the clustering process in applied to make the partition of the documents through the proposed semantic similarity measure used in the possibilistic fuzzy c means (PFCM) clustering algorithm. For each cluster, the index constructed, which contains common important keywords of the documents of cluster. Once the user enter the keyword as the input to the system, it will process the keywords with the WORDNET ontology to obtain the neighbourhood keywords and related synset keywords. From the set of keywords obtained from the WORDNET is refined and the refined keywords are matched with the index keywords of the clusters to calculate the matching score. Finally, the documents inside the cluster are released at first as the resultant related documents for the query keyword, which clusters have the maximum matching score values. The experimentation process is carried out with the help of different set of documents to achieve the results, the performance analysis of the proposed approach is estimated by precision, and we proved our proposed approach is outperformed in terms of precision.","2015-03","2019-06-15 15:03:15","2019-06-15 16:43:34","","746-753","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); Semantics; document handling; Ontology; Information retrieval; query processing; Indexing; fuzzy set theory; pattern clustering; Clustering algorithms; query keyword; clustering process; Computers; Document clustering; documents partition; fuzzy clustering; matching score; neighbourhood keywords; performance analysis; PFCM clustering algorithm; possibilistic fuzzy c means; query basis; reformulated query; semantic document retrieval system; Semantic similarity measure; WORDNET; WORDNET ontology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI2Y3ZBT","conferencePaper","2017","Eisenberg, J. D.; Banisakher, D.; Presa, M.; Unthank, K.; Finlayson, M. A.; Price, R.; Chen, S.","Toward Semantic Search for the Biogeochemical Literature","2017 IEEE International Conference on Information Reuse and Integration (IRI)","","","10.1109/IRI.2017.49","","Literature search is a vital step of every research project. Semantic literature search is an approach to article retrieval and ranking using concepts rather than keywords, in an attempt to address the well-known deficiencies of keyword-based search, namely, (1) retrieval of an overwhelming number of results, (2) rankings that do not precisely reflect true relevance, and (3) the omission of relevant results because they do not contain the idiosyncratic keywords of the query. The difficulty of semantic search, however, is that it requires significant knowledge engineering, often in the form of conceptual ontologies tailored to a particular scientific domain. It also requires non-trivial tuning, in the form of domain-specific term and concepts weights. Here we present preliminary, work-in-progress results in the development of a semantic search system for the biogeochemical scientific literature. We report the following initial steps: first, one of the co-authors-a biogeochemistry expert-wrote a sample search query, and ranked the five most relevant articles that were returned for that query from a popular keyword-based search engine. We then hand annotated the five articles and the query with the Environmental Ontology (ENVO), an existing ontology for the domain. Critically, this pilot annotation revealed a number of missing concepts that we will add in future work. We then showed that a straightforward ontology distance metric between concepts in the search query and the five articles was sufficient to produce the expected ranking. We discuss the implications of these results, and outline next steps required produce a full-fledged semantic search system for the biogeochemistry scientific literature.","2017-08","2019-06-15 15:03:15","2019-06-15 17:18:44","","517-525","","","","","","","","","","","","","","","","","","","","","","","","knowledge engineering; Ontologies; ontologies (artificial intelligence); information retrieval; search engines; Search engines; query processing; search engine; Natural language processing; Natural Language Processing; article retrieval; biochemistry; biogeochemical literature; biogeochemical scientific literature; biogeochemistry scientific literature; chemistry computing; conceptual ontologies; domain-specific term; Environmental Ontology; ENVO; expected ranking; Footwear; full-fledged semantic search system; geochemistry; geophysics computing; idiosyncratic keywords; nontrivial tuning; ontology distance metric; outline next steps; particular scientific domain; popular keyword; relevant articles; relevant results; research project; sample search query; search query; Sediments; semantic literature search; Semantic Search; work-in-progress results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBYZ5VH9","conferencePaper","2017","Hassan, T.; Cruz, C.; Bertaux, A.","Predictive and evolutive cross-referencing for web textual sources","2017 Computing Conference","","","10.1109/SAI.2017.8252230","","One of the main challenges in the domain of competitive intelligence is to harness important volumes of information from the web, and extract the most valuable pieces of information. As the amount of information available on the web grows rapidly and is very heterogeneous, this process becomes overwhelming for experts. To leverage this challenge, this paper presents a vision for a novel process that performs cross-referencing at web scale. This process uses a focused crawler and a semantic-based classifier to cross-reference textual items without expert intervention, based on Big Data and Semantic Web technologies. The system is described thoroughly, and interests of this work in progress are discussed.","2017-07","2019-06-15 15:03:16","2019-06-15 16:43:07","","1114-1122","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; semantic Web; Semantics; information retrieval; Ontology; search engines; semantic Web technologies; Crawlers; Taxonomy; text analysis; Knowledge based systems; pattern classification; information extraction; Computational modeling; Big Data; Data mining; Adaptive; Classification; competitive intelligence; cross-reference textual items; Cross-Referencing; evolutive cross-referencing; expert intervention; focused crawler; Focused Crawler; predictive cross-referencing; Reasonning; semantic-based classifier; Web scale; Web textual sources","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7RASADD","conferencePaper","2015","Amer, E.","Enhancing Efficiency of Web Search Engines through Ontology Learning from Unstructured Information Sources","2015 IEEE International Conference on Information Reuse and Integration","","","10.1109/IRI.2015.87","","With the fast growth rate of information availability through the World Wide Web, search engines' ranking become limited to deal with such enormous amount of information. Web search engines should be enriched with methodologies that enable it to understand the content of Web pages, then to align pages to the correct query category that highly match its content. In this paper, a proposed system is introduced to deal with the abundance of information by automatically understand the content of a Web page, and semantically model the ontological concepts that exist inside it. The semantic relations between ontological concepts are automatically given a score or weight based on its influence to the given query. The weighted semantic relations between ontological concepts can be viewed as a signature for the query, the highly similarity of an article to this signature, the more relevant to the query. A new relevancy measure is introduced to semantically re-rank or classify Web pages based on computing the semantic similarity of the weighted intersection ratio between ontological concepts extracted from retrieved Web pages, and ontological concepts that represents the query. Results shows that the proposed system has the highest Pearson correlation coefficient (0.890) to human judgments which outperforms semantic similarity state-of-the-art methods and Web-based methods. The proposed model, was tested to re-rank Web pages according to the semantic relevancy of the query, experiments shows that it has the highest convergence to expert ranking order of Web pages compared to other Web search engines.","2015-08","2019-06-15 15:03:16","2019-06-15 16:18:28","","542-549","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); semantic similarity; Semantics; search engines; query processing; Web pages; information sources; learning (artificial intelligence); Web search engines; Internet; Electronic publishing; Encyclopedias; ontology learning; Semantic Search; information availability; ontological concepts; Ontology learning; Pearson correlation coefficient; query representation; relevancy measure; Search Engine ranking; Web page content understanding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6L8DPSCV","conferencePaper","2017","Fudholi, D. H.; Rahayu, W.; Pardede, E.","CODE+: Building Common Ontology from Community Knowledge","2017 IEEE 31st International Conference on Advanced Information Networking and Applications (AINA)","","","10.1109/AINA.2017.144","","A domain ontology is an ontology that describes the fundamental knowledge of the domain, including the domain vocabulary, concepts, taxonomy, relations, properties, constraints, and axioms. The creation of a domain ontology may be done manually from scratch by domain experts or translated from existing knowledge sources. Our earlier work in [4] presented a framework on building an ontology by matching and merging existing domain ontologies. In this paper, we expand the framework to include different types of community knowledge representations in a common ontology. A common ontology is a domain ontology that is developed from community knowledge by gathering their commonality. To build a common ontology, we standardize different community data format using a schema mediation notation. We apply rule-based mapping and information extraction methodology, and we perform matching, clustering and merging, to collect common knowledge together. The evaluation shows that our proposed framework can build a valid and rich common ontology.","2017-03","2019-06-15 15:03:16","2019-06-15 16:17:48","","562-569","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); OWL; Information retrieval; ontology; data mining; domain ontology; information extraction; Data mining; axioms; CODE+; common ontology; commonality; community data format; community knowledge representations; domain experts; domain vocabulary; matching; merging; Merging; rule-based mapping; schema mediation notation; taxonomy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
